id,day_offset,flight_no,airline,origin,destination,departure_time,duration_mins,stops,price,seats_available
1,0,VI100,Vistara,Delhi,Jammu,08:00,102,0,4245,60
2,0,VI101,Vistara,Mumbai,Jammu,05:00,174,0,7696,118
3,0,IN102,IndiGo,Mumbai,Jammu,08:00,171,0,4709,96
4,0,SP103,SpiceJet,Bangalore,Jammu,07:00,204,0,7375,71
5,0,SP104,SpiceJet,Bangalore,Jammu,06:00,186,0,6192,79
6,0,AI105,Air India,Chennai,Jammu,13:00,282,1,6681,127
7,0,VI106,Vistara,Kolkata,Jammu,05:00,301,1,5520,113
8,0,SP107,SpiceJet,Ahmedabad,Jammu,12:00,266,1,5023,15
9,0,AI108,Air India,Ahmedabad,Jammu,14:00,149,0,5474,51
10,1,VI109,Vistara,Delhi,Jammu,09:00,95,0,5130,68
11,1,SP110,SpiceJet,Mumbai,Jammu,15:00,165,0,7208,66
12,1,VI111,Vistara,Mumbai,Jammu,16:00,255,1,6247,77
13,1,IN112,IndiGo,Bangalore,Jammu,15:00,199,0,7575,70
14,1,IN113,IndiGo,Chennai,Jammu,19:00,273,1,7743,70
15,1,IN114,IndiGo,Kolkata,Jammu,20:00,172,0,5369,78
16,1,VI115,Vistara,Ahmedabad,Jammu,11:00,219,1,3675,151
17,1,VI116,Vistara,Ahmedabad,Jammu,18:00,240,1,4397,71
18,2,SP117,SpiceJet,Delhi,Jammu,05:00,195,1,5133,76
19,2,SP118,SpiceJet,Mumbai,Jammu,11:00,157,0,7455,46
20,2,VI119,Vistara,Mumbai,Jammu,08:00,156,0,4510,59
21,2,SP120,SpiceJet,Bangalore,Jammu,08:00,190,0,7764,35
22,2,AI121,Air India,Bangalore,Jammu,16:00,273,1,7806,15
23,2,VI122,Vistara,Chennai,Jammu,18:00,209,0,6071,168
24,2,SP123,SpiceJet,Kolkata,Jammu,10:00,190,0,8714,157
25,2,SP124,SpiceJet,Ahmedabad,Jammu,15:00,151,0,4936,175
26,3,AI125,Air India,Delhi,Jammu,16:00,107,0,5206,13
27,3,SP126,SpiceJet,Delhi,Jammu,15:00,98,0,3601,9
28,3,AI127,Air India,Mumbai,Jammu,15:00,167,0,7505,133
29,3,AI128,Air India,Bangalore,Jammu,12:00,197,0,5382,95
30,3,AI129,Air India,Chennai,Jammu,12:00,329,1,4525,138
31,3,IN130,IndiGo,Kolkata,Jammu,09:00,190,0,6112,1
32,3,SP131,SpiceJet,Kolkata,Jammu,14:00,185,0,6465,111
33,3,AI132,Air India,Ahmedabad,Jammu,14:00,233,1,5045,154
34,3,IN133,IndiGo,Ahmedabad,Jammu,14:00,154,0,4383,171
35,4,SP134,SpiceJet,Delhi,Jammu,08:00,93,0,3900,86
36,4,IN135,IndiGo,Mumbai,Jammu,18:00,174,0,5635,179
37,4,IN136,IndiGo,Bangalore,Jammu,09:00,195,0,7827,140
38,4,AI137,Air India,Bangalore,Jammu,05:00,204,0,8711,175
39,4,AI138,Air India,Chennai,Jammu,19:00,207,0,5822,139
40,4,AI139,Air India,Kolkata,Jammu,19:00,170,0,6723,164
41,4,AI140,Air India,Ahmedabad,Jammu,18:00,133,0,4522,89
42,5,VI141,Vistara,Delhi,Jammu,13:00,107,0,6491,167
43,5,IN142,IndiGo,Mumbai,Jammu,20:00,275,1,7006,41
44,5,AI143,Air India,Bangalore,Jammu,07:00,205,0,5160,134
45,5,IN144,IndiGo,Chennai,Jammu,11:00,207,0,6850,74
46,5,AI145,Air India,Chennai,Jammu,18:00,215,0,9086,52
47,5,IN146,IndiGo,Kolkata,Jammu,15:00,268,1,4854,87
48,5,IN147,IndiGo,Ahmedabad,Jammu,15:00,141,0,6448,43
49,6,IN148,IndiGo,Delhi,Jammu,15:00,89,0,4581,60
50,6,SP149,SpiceJet,Mumbai,Jammu,16:00,159,0,7671,46
51,6,SP150,SpiceJet,Bangalore,Jammu,12:00,193,0,5711,174
52,6,IN151,IndiGo,Chennai,Jammu,09:00,224,0,8853,31
53,6,AI152,Air India,Kolkata,Jammu,16:00,179,0,4626,20
54,6,SP153,SpiceJet,Ahmedabad,Jammu,05:00,233,1,3779,36
55,7,SP154,SpiceJet,Delhi,Jammu,10:00,92,0,4916,6
56,7,AI155,Air India,Delhi,Jammu,12:00,100,0,3745,89
57,7,VI156,Vistara,Mumbai,Jammu,13:00,175,0,6862,50
58,7,SP157,SpiceJet,Mumbai,Jammu,11:00,161,0,4917,57
59,7,SP158,SpiceJet,Bangalore,Jammu,17:00,269,1,5841,38
60,7,AI159,Air India,Bangalore,Jammu,09:00,202,0,7238,1
61,7,VI160,Vistara,Chennai,Jammu,11:00,292,1,5265,143
62,7,VI161,Vistara,Kolkata,Jammu,11:00,257,1,4895,122
63,7,IN162,IndiGo,Ahmedabad,Jammu,12:00,208,1,3313,36
64,7,VI163,Vistara,Ahmedabad,Jammu,20:00,153,0,5405,122
65,8,IN164,IndiGo,Delhi,Jammu,12:00,97,0,3972,75
66,8,VI165,Vistara,Mumbai,Jammu,19:00,261,1,7043,79
67,8,VI166,Vistara,Mumbai,Jammu,07:00,157,0,4939,40
68,8,VI167,Vistara,Bangalore,Jammu,19:00,306,1,4707,106
69,8,VI168,Vistara,Chennai,Jammu,10:00,322,1,7208,167
70,8,AI169,Air India,Chennai,Jammu,13:00,220,0,7855,149
71,8,VI170,Vistara,Kolkata,Jammu,12:00,280,1,7170,118
72,8,SP171,SpiceJet,Kolkata,Jammu,05:00,170,0,4928,32
73,8,IN172,IndiGo,Ahmedabad,Jammu,19:00,133,0,6261,74
74,8,IN173,IndiGo,Ahmedabad,Jammu,14:00,155,0,5767,171
75,9,SP174,SpiceJet,Delhi,Jammu,11:00,105,0,4162,104
76,9,AI175,Air India,Delhi,Jammu,16:00,103,0,6039,121
77,9,IN176,IndiGo,Mumbai,Jammu,18:00,156,0,7958,69
78,9,VI177,Vistara,Mumbai,Jammu,15:00,170,0,8068,143
79,9,AI178,Air India,Bangalore,Jammu,05:00,190,0,5685,103
80,9,IN179,IndiGo,Chennai,Jammu,14:00,206,0,5782,90
81,9,AI180,Air India,Kolkata,Jammu,08:00,180,0,6889,89
82,9,AI181,Air India,Ahmedabad,Jammu,08:00,261,1,4008,174
83,9,AI182,Air India,Ahmedabad,Jammu,16:00,133,0,6948,53
84,10,VI183,Vistara,Delhi,Jammu,13:00,109,0,4636,94
85,10,AI184,Air India,Mumbai,Jammu,17:00,170,0,7426,50
86,10,VI185,Vistara,Mumbai,Jammu,20:00,240,1,4531,22
87,10,SP186,SpiceJet,Bangalore,Jammu,12:00,189,0,7940,41
88,10,AI187,Air India,Bangalore,Jammu,05:00,201,0,7715,143
89,10,SP188,SpiceJet,Chennai,Jammu,15:00,214,0,9128,89
90,10,VI189,Vistara,Kolkata,Jammu,09:00,166,0,6819,62
91,10,SP190,SpiceJet,Ahmedabad,Jammu,11:00,142,0,6611,11
92,10,VI191,Vistara,Ahmedabad,Jammu,19:00,130,0,4113,48
93,11,AI192,Air India,Delhi,Jammu,19:00,91,0,3449,21
94,11,VI193,Vistara,Mumbai,Jammu,11:00,242,1,5016,97
95,11,VI194,Vistara,Mumbai,Jammu,19:00,253,1,4352,23
96,11,SP195,SpiceJet,Bangalore,Jammu,20:00,198,0,8746,162
97,11,AI196,Air India,Chennai,Jammu,18:00,211,0,6879,17
98,11,AI197,Air India,Kolkata,Jammu,20:00,166,0,8062,59
99,11,VI198,Vistara,Ahmedabad,Jammu,16:00,243,1,4592,22
100,12,VI199,Vistara,Delhi,Jammu,17:00,93,0,5193,106
101,12,AI200,Air India,Mumbai,Jammu,18:00,177,0,6471,41
102,12,VI201,Vistara,Bangalore,Jammu,19:00,188,0,8115,33
103,12,VI202,Vistara,Chennai,Jammu,06:00,207,0,6910,172
104,12,IN203,IndiGo,Kolkata,Jammu,05:00,314,1,6679,86
105,12,IN204,IndiGo,Kolkata,Jammu,12:00,178,0,5453,117
106,12,AI205,Air India,Ahmedabad,Jammu,06:00,153,0,4327,49
107,12,IN206,IndiGo,Ahmedabad,Jammu,12:00,144,0,5126,17
108,13,VI207,Vistara,Delhi,Jammu,06:00,102,0,3358,107
109,13,SP208,SpiceJet,Mumbai,Jammu,18:00,170,0,5065,93
110,13,AI209,Air India,Bangalore,Jammu,17:00,285,1,6685,60
111,13,VI210,Vistara,Bangalore,Jammu,13:00,202,0,5602,171
112,13,AI211,Air India,Chennai,Jammu,08:00,314,1,4605,141
113,13,IN212,IndiGo,Kolkata,Jammu,08:00,183,0,8435,26
114,13,IN213,IndiGo,Kolkata,Jammu,10:00,315,1,5402,170
115,13,AI214,Air India,Ahmedabad,Jammu,05:00,138,0,6346,31
116,14,SP215,SpiceJet,Delhi,Jammu,08:00,174,1,5205,140
117,14,AI216,Air India,Delhi,Jammu,06:00,87,0,4934,28
118,14,AI217,Air India,Mumbai,Jammu,09:00,156,0,8210,36
119,14,VI218,Vistara,Mumbai,Jammu,13:00,266,1,5939,161
120,14,SP219,SpiceJet,Bangalore,Jammu,09:00,301,1,6394,116
121,14,VI220,Vistara,Chennai,Jammu,11:00,210,0,6385,63
122,14,IN221,IndiGo,Kolkata,Jammu,11:00,170,0,8483,33
123,14,VI222,Vistara,Kolkata,Jammu,19:00,167,0,7239,18
124,14,AI223,Air India,Ahmedabad,Jammu,16:00,149,0,4908,106
125,15,SP224,SpiceJet,Delhi,Jammu,06:00,97,0,4849,79
126,15,AI225,Air India,Delhi,Jammu,05:00,95,0,3952,96
127,15,IN226,IndiGo,Mumbai,Jammu,13:00,160,0,7660,99
128,15,IN227,IndiGo,Bangalore,Jammu,19:00,303,1,5904,50
129,15,AI228,Air India,Bangalore,Jammu,05:00,308,1,5395,57
130,15,VI229,Vistara,Chennai,Jammu,19:00,214,0,5786,142
131,15,SP230,SpiceJet,Chennai,Jammu,19:00,205,0,9327,58
132,15,AI231,Air India,Kolkata,Jammu,09:00,184,0,7581,45
133,15,SP232,SpiceJet,Ahmedabad,Jammu,20:00,211,1,3388,45
134,15,IN233,IndiGo,Ahmedabad,Jammu,09:00,148,0,5026,144
135,16,IN234,IndiGo,Delhi,Jammu,13:00,106,0,3355,144
136,16,AI235,Air India,Delhi,Jammu,14:00,88,0,6447,0
137,16,AI236,Air India,Mumbai,Jammu,08:00,264,1,7089,128
138,16,IN237,IndiGo,Bangalore,Jammu,11:00,204,0,6832,38
139,16,SP238,SpiceJet,Bangalore,Jammu,14:00,192,0,5127,8
140,16,SP239,SpiceJet,Chennai,Jammu,11:00,316,1,5737,180
141,16,SP240,SpiceJet,Chennai,Jammu,16:00,220,0,5217,118
142,16,AI241,Air India,Kolkata,Jammu,16:00,186,0,7375,157
143,16,VI242,Vistara,Ahmedabad,Jammu,05:00,277,1,5410,168
144,17,AI243,Air India,Delhi,Jammu,11:00,100,0,4384,18
145,17,IN244,IndiGo,Mumbai,Jammu,08:00,239,1,6465,72
146,17,SP245,SpiceJet,Bangalore,Jammu,09:00,259,1,7085,98
147,17,IN246,IndiGo,Chennai,Jammu,12:00,203,0,6565,103
148,17,SP247,SpiceJet,Kolkata,Jammu,10:00,171,0,6393,80
149,17,SP248,SpiceJet,Ahmedabad,Jammu,08:00,242,1,3477,131
150,17,AI249,Air India,Ahmedabad,Jammu,10:00,150,0,7217,99
151,18,VI250,Vistara,Delhi,Jammu,17:00,85,0,5271,37
152,18,VI251,Vistara,Mumbai,Jammu,10:00,164,0,6501,159
153,18,AI252,Air India,Bangalore,Jammu,20:00,203,0,5590,42
154,18,SP253,SpiceJet,Bangalore,Jammu,06:00,295,1,5984,63
155,18,VI254,Vistara,Chennai,Jammu,12:00,333,1,7708,24
156,18,SP255,SpiceJet,Kolkata,Jammu,17:00,177,0,5041,49
157,18,VI256,Vistara,Kolkata,Jammu,18:00,171,0,6801,75
158,18,AI257,Air India,Ahmedabad,Jammu,06:00,144,0,4414,147
159,19,VI258,Vistara,Delhi,Jammu,19:00,106,0,5613,90
160,19,SP259,SpiceJet,Mumbai,Jammu,17:00,171,0,8432,172
161,19,AI260,Air India,Mumbai,Jammu,05:00,238,1,6675,66
162,19,AI261,Air India,Bangalore,Jammu,19:00,192,0,7314,68
163,19,VI262,Vistara,Bangalore,Jammu,06:00,190,0,5917,125
164,19,VI263,Vistara,Chennai,Jammu,10:00,210,0,6136,101
165,19,VI264,Vistara,Kolkata,Jammu,10:00,169,0,6337,51
166,19,VI265,Vistara,Ahmedabad,Jammu,09:00,136,0,4889,87
167,20,VI266,Vistara,Delhi,Jammu,17:00,92,0,6347,91
168,20,SP267,SpiceJet,Mumbai,Jammu,07:00,160,0,7735,138
169,20,AI268,Air India,Mumbai,Jammu,19:00,180,0,6446,121
170,20,IN269,IndiGo,Bangalore,Jammu,16:00,308,1,5499,37
171,20,SP270,SpiceJet,Chennai,Jammu,10:00,200,0,9011,56
172,20,IN271,IndiGo,Kolkata,Jammu,18:00,185,0,6060,161
173,20,AI272,Air India,Kolkata,Jammu,12:00,263,1,7565,10
174,20,AI273,Air India,Ahmedabad,Jammu,10:00,234,1,5462,88
175,21,AI274,Air India,Delhi,Jammu,08:00,110,0,4314,158
176,21,AI275,Air India,Mumbai,Jammu,07:00,163,0,5783,113
177,21,SP276,SpiceJet,Mumbai,Jammu,11:00,173,0,7675,158
178,21,SP277,SpiceJet,Bangalore,Jammu,18:00,201,0,5037,169
179,21,IN278,IndiGo,Chennai,Jammu,18:00,317,1,7319,130
180,21,IN279,IndiGo,Kolkata,Jammu,05:00,176,0,6803,96
181,21,AI280,Air India,Ahmedabad,Jammu,06:00,228,1,4306,112
182,22,AI281,Air India,Delhi,Jammu,10:00,203,1,3243,24
183,22,IN282,IndiGo,Mumbai,Jammu,09:00,283,1,7163,2
184,22,SP283,SpiceJet,Bangalore,Jammu,15:00,192,0,7324,138
185,22,IN284,IndiGo,Chennai,Jammu,09:00,224,0,5259,153
186,22,AI285,Air India,Kolkata,Jammu,09:00,179,0,4671,175
187,22,IN286,IndiGo,Kolkata,Jammu,15:00,175,0,7086,11
188,22,VI287,Vistara,Ahmedabad,Jammu,06:00,134,0,5722,150
189,23,AI288,Air India,Delhi,Jammu,11:00,85,0,4320,72
190,23,SP289,SpiceJet,Delhi,Jammu,15:00,105,0,6442,11
191,23,IN290,IndiGo,Mumbai,Jammu,16:00,160,0,4312,142
192,23,SP291,SpiceJet,Bangalore,Jammu,20:00,192,0,5697,81
193,23,IN292,IndiGo,Chennai,Jammu,06:00,204,0,9038,121
194,23,SP293,SpiceJet,Kolkata,Jammu,06:00,174,0,4626,9
195,23,IN294,IndiGo,Kolkata,Jammu,08:00,184,0,8234,84
196,23,VI295,Vistara,Ahmedabad,Jammu,06:00,140,0,6177,42
197,24,VI296,Vistara,Delhi,Jammu,20:00,86,0,5156,46
198,24,VI297,Vistara,Mumbai,Jammu,14:00,175,0,4905,91
199,24,SP298,SpiceJet,Mumbai,Jammu,06:00,246,1,6588,144
200,24,AI299,Air India,Bangalore,Jammu,15:00,198,0,6360,175
201,24,VI300,Vistara,Bangalore,Jammu,05:00,208,0,6445,122
202,24,IN301,IndiGo,Chennai,Jammu,06:00,218,0,9499,15
203,24,IN302,IndiGo,Kolkata,Jammu,17:00,189,0,8950,107
204,24,VI303,Vistara,Ahmedabad,Jammu,18:00,234,1,4034,121
205,25,SP304,SpiceJet,Delhi,Jammu,17:00,223,1,3400,55
206,25,SP305,SpiceJet,Delhi,Jammu,06:00,190,1,4876,163
207,25,VI306,Vistara,Mumbai,Jammu,08:00,164,0,5430,31
208,25,IN307,IndiGo,Mumbai,Jammu,05:00,165,0,6007,41
209,25,AI308,Air India,Bangalore,Jammu,07:00,262,1,4578,117
210,25,SP309,SpiceJet,Chennai,Jammu,17:00,330,1,5272,39
211,25,AI310,Air India,Kolkata,Jammu,15:00,180,0,8401,122
212,25,IN311,IndiGo,Kolkata,Jammu,20:00,239,1,7310,11
213,25,SP312,SpiceJet,Ahmedabad,Jammu,15:00,240,1,6306,122
214,26,IN313,IndiGo,Delhi,Jammu,15:00,107,0,3283,155
215,26,IN314,IndiGo,Mumbai,Jammu,07:00,253,1,4338,28
216,26,AI315,Air India,Bangalore,Jammu,15:00,199,0,8053,4
217,26,IN316,IndiGo,Chennai,Jammu,07:00,222,0,8019,126
218,26,IN317,IndiGo,Kolkata,Jammu,10:00,165,0,5483,100
219,26,SP318,SpiceJet,Kolkata,Jammu,18:00,167,0,7245,160
220,26,SP319,SpiceJet,Ahmedabad,Jammu,17:00,150,0,7284,48
221,27,VI320,Vistara,Delhi,Jammu,10:00,177,1,3319,90
222,27,SP321,SpiceJet,Mumbai,Jammu,18:00,239,1,5495,148
223,27,AI322,Air India,Bangalore,Jammu,05:00,190,0,8671,119
