id,day_offset,name,category,price_per_night,rooms_available
1,0,Trikuta Guest House,Budget,1484,14
2,0,Ban Ganga Comfort Stay,Budget,788,7
3,0,Yatri Niwas Lodge,Budget,848,24
4,0,Katra Bus Stand Inn,Budget,1198,23
5,0,Trikuta Residency,Mid-Range,3132,7
6,0,Bhawan View Hotel,Mid-Range,2236,7
7,0,Katra Heritage Inn,Mid-Range,2001,13
8,0,Devi Darshan Hotel,Mid-Range,3570,7
9,0,Trikuta Hills Resort,Premium,10619,6
10,0,Vaishnavi Grand,Premium,9494,11
11,0,Katra Palace Hotel,Premium,8332,2
12,1,Trikuta Guest House,Budget,1322,18
13,1,Ban Ganga Comfort Stay,Budget,1007,14
14,1,Yatri Niwas Lodge,Budget,1371,13
15,1,Katra Bus Stand Inn,Budget,1318,12
16,1,Trikuta Residency,Mid-Range,2368,15
17,1,Bhawan View Hotel,Mid-Range,2737,5
18,1,Katra Heritage Inn,Mid-Range,3011,15
19,1,Devi Darshan Hotel,Mid-Range,3934,12
20,1,Trikuta Hills Resort,Premium,11415,6
21,1,Vaishnavi Grand,Premium,5617,1
22,1,Katra Palace Hotel,Premium,10765,5
23,2,Trikuta Guest House,Budget,1064,5
24,2,Ban Ganga Comfort Stay,Budget,977,25
25,2,Yatri Niwas Lodge,Budget,747,26
26,2,Katra Bus Stand Inn,Budget,1211,11
27,2,Trikuta Residency,Mid-Range,2958,6
28,2,Bhawan View Hotel,Mid-Range,2673,9
29,2,Katra Heritage Inn,Mid-Range,2360,15
30,2,Devi Darshan Hotel,Mid-Range,2127,2
31,2,Trikuta Hills Resort,Premium,11315,10
32,2,Vaishnavi Grand,Premium,5982,6
33,2,Katra Palace Hotel,Premium,5745,2
34,3,Trikuta Guest House,Budget,704,23
35,3,Ban Ganga Comfort Stay,Budget,1219,21
36,3,Yatri Niwas Lodge,Budget,826,22
37,3,Katra Bus Stand Inn,Budget,1221,23
38,3,Trikuta Residency,Mid-Range,2958,5
39,3,Bhawan View Hotel,Mid-Range,3294,3
40,3,Katra Heritage Inn,Mid-Range,2266,9
41,3,Devi Darshan Hotel,Mid-Range,3261,2
42,3,Trikuta Hills Resort,Premium,7335,12
43,3,Vaishnavi Grand,Premium,5990,4
44,3,Katra Palace Hotel,Premium,11276,5
45,4,Trikuta Guest House,Budget,1193,11
46,4,Ban Ganga Comfort Stay,Budget,932,26
47,4,Yatri Niwas Lodge,Budget,839,21
48,4,Katra Bus Stand Inn,Budget,624,16
49,4,Trikuta Residency,Mid-Range,3023,14
50,4,Bhawan View Hotel,Mid-Range,3400,11
51,4,Katra Heritage Inn,Mid-Range,3935,2
52,4,Devi Darshan Hotel,Mid-Range,3751,16
53,4,Trikuta Hills Resort,Premium,8759,8
54,4,Vaishnavi Grand,Premium,9425,11
55,4,Katra Palace Hotel,Premium,8465,8
56,5,Trikuta Guest House,Budget,1387,13
