id,day_offset,train_no,operator,travel_class,origin,destination,departure_time,duration_mins,price,seats_available
1,0,12401,Indian Railways,Sleeper,Delhi,Katra (SVDK),20:00,732,763,8
2,0,12401,Indian Railways,3AC,Delhi,Katra (SVDK),20:00,732,1573,22
3,0,12401,Indian Railways,2AC,Delhi,Katra (SVDK),20:00,732,2194,55
4,0,12402,Northern Railway,Sleeper,Mumbai,Katra (SVDK),17:00,1541,1425,51
5,0,12402,Northern Railway,3AC,Mumbai,Katra (SVDK),17:00,1541,2709,34
6,0,12402,Northern Railway,2AC,Mumbai,Katra (SVDK),17:00,1541,3860,57
7,0,12403,Northern Railway,Sleeper,Chennai,Katra (SVDK),14:00,2498,872,68
8,0,12403,Northern Railway,3AC,Chennai,Katra (SVDK),14:00,2498,2693,44
9,0,12403,Northern Railway,2AC,Chennai,Katra (SVDK),14:00,2498,3790,17
10,0,12404,Indian Railways,Sleeper,Kolkata,Katra (SVDK),14:00,1888,550,48
11,0,12404,Indian Railways,3AC,Kolkata,Katra (SVDK),14:00,1888,1988,43
12,0,12404,Indian Railways,2AC,Kolkata,Katra (SVDK),14:00,1888,2376,8
13,0,12405,Northern Railway,Sleeper,Ahmedabad,Katra (SVDK),20:00,1637,651,52
14,0,12405,Northern Railway,3AC,Ahmedabad,Katra (SVDK),20:00,1637,2173,52
15,0,12405,Northern Railway,2AC,Ahmedabad,Katra (SVDK),20:00,1637,2459,8
16,1,12406,Northern Railway,Sleeper,Delhi,Katra (SVDK),14:00,736,525,9
17,1,12406,Northern Railway,3AC,Delhi,Katra (SVDK),14:00,736,1525,66
18,1,12406,Northern Railway,2AC,Delhi,Katra (SVDK),14:00,736,2030,13
19,1,12407,Indian Railways,Sleeper,Mumbai,Katra (SVDK),14:00,1519,677,4
20,1,12407,Indian Railways,3AC,Mumbai,Katra (SVDK),14:00,1519,1905,6
21,1,12407,Indian Railways,2AC,Mumbai,Katra (SVDK),14:00,1519,3812,71
22,1,12408,Indian Railways,Sleeper,Chennai,Katra (SVDK),20:00,2484,1010,38
23,1,12408,Indian Railways,3AC,Chennai,Katra (SVDK),20:00,2484,3172,30
24,1,12408,Indian Railways,2AC,Chennai,Katra (SVDK),20:00,2484,3146,59
25,1,12409,Northern Railway,Sleeper,Kolkata,Katra (SVDK),07:00,1933,1078,68
26,1,12409,Northern Railway,3AC,Kolkata,Katra (SVDK),07:00,1933,1900,71
27,1,12409,Northern Railway,2AC,Kolkata,Katra (SVDK),07:00,1933,3024,4
28,1,12410,Indian Railways,Sleeper,Ahmedabad,Katra (SVDK),07:00,1666,879,1
29,1,12410,Indian Railways,3AC,Ahmedabad,Katra (SVDK),07:00,1666,1484,25
30,1,12410,Indian Railways,2AC,Ahmedabad,Katra (SVDK),07:00,1666,1683,37
31,2,12411,Indian Railways,Sleeper,Delhi,Katra (SVDK),07:00,695,431,27
32,2,12411,Indian Railways,3AC,Delhi,Katra (SVDK),07:00,695,505,27
33,2,12411,Indian Railways,2AC,Delhi,Katra (SVDK),07:00,695,1587,17
34,2,12412,Indian Railways,Sleeper,Mumbai,Katra (SVDK),14:00,1544,1393,46
35,2,12412,Indian Railways,3AC,Mumbai,Katra (SVDK),14:00,1544,1705,39
36,2,12412,Indian Railways,2AC,Mumbai,Katra (SVDK),14:00,1544,3671,6
37,2,12413,Indian Railways,Sleeper,Chennai,Katra (SVDK),07:00,2543,1770,30
38,2,12413,Indian Railways,3AC,Chennai,Katra (SVDK),07:00,2543,2927,61
39,2,12413,Indian Railways,2AC,Chennai,Katra (SVDK),07:00,2543,2891,45
40,2,12414,Indian Railways,Sleeper,Kolkata,Katra (SVDK),07:00,1970,803,10
41,2,12414,Indian Railways,3AC,Kolkata,Katra (SVDK),07:00,1970,1653,37
42,2,12414,Indian Railways,2AC,Kolkata,Katra (SVDK),07:00,1970,2269,16
43,2,12415,Indian Railways,Sleeper,Ahmedabad,Katra (SVDK),05:00,1671,476,71
44,2,12415,Indian Railways,3AC,Ahmedabad,Katra (SVDK),05:00,1671,1042,65
45,2,12415,Indian Railways,2AC,Ahmedabad,Katra (SVDK),05:00,1671,1307,68
46,3,12416,Indian Railways,Sleeper,Delhi,Katra (SVDK),22:00,677,294,38
47,3,12416,Indian Railways,3AC,Delhi,Katra (SVDK),22:00,677,903,67
48,3,12416,Indian Railways,2AC,Delhi,Katra (SVDK),22:00,677,2260,34
49,3,12417,Northern Railway,Sleeper,Mumbai,Katra (SVDK),22:00,1517,987,14
50,3,12417,Northern Railway,3AC,Mumbai,Katra (SVDK),22:00,1517,1369,43
51,3,12417,Northern Railway,2AC,Mumbai,Katra (SVDK),22:00,1517,3163,52
52,3,12418,Northern Railway,Sleeper,Chennai,Katra (SVDK),14:00,2504,783,58
53,3,12418,Northern Railway,3AC,Chennai,Katra (SVDK),14:00,2504,2942,39
54,3,12418,Northern Railway,2AC,Chennai,Katra (SVDK),14:00,2504,2690,36
55,3,12419,Northern Railway,Sleeper,Kolkata,Katra (SVDK),22:00,1941,515,55
56,3,12419,Northern Railway,3AC,Kolkata,Katra (SVDK),22:00,1941,1247,33
57,3,12419,Northern Railway,2AC,Kolkata,Katra (SVDK),22:00,1941,2666,29
58,3,12420,Indian Railways,Sleeper,Ahmedabad,Katra (SVDK),07:00,1644,1095,49
59,3,12420,Indian Railways,3AC,Ahmedabad,Katra (SVDK),07:00,1644,2204,11
60,3,12420,Indian Railways,2AC,Ahmedabad,Katra (SVDK),07:00,1644,2693,45
61,4,12421,Indian Railways,Sleeper,Delhi,Katra (SVDK),14:00,779,328,64
62,4,12421,Indian Railways,3AC,Delhi,Katra (SVDK),14:00,779,565,29
63,4,12421,Indian Railways,2AC,Delhi,Katra (SVDK),14:00,779,1666,62
64,4,12422,Indian Railways,Sleeper,Mumbai,Katra (SVDK),22:00,1537,1127,45
65,4,12422,Indian Railways,3AC,Mumbai,Katra (SVDK),22:00,1537,1488,50
66,4,12422,Indian Railways,2AC,Mumbai,Katra (SVDK),22:00,1537,3892,15
