id,day_offset,slot_time,category,price,seats_available
1,0,06:00,Normal Darshan,0,262
2,0,09:00,Normal Darshan,0,280
3,0,12:00,Normal Darshan,0,406
4,0,15:00,Normal Darshan,0,479
5,0,18:00,Normal Darshan,0,387
6,0,06:00,VIP Darshan,500,99
7,0,09:00,VIP Darshan,500,47
8,0,12:00,VIP Darshan,500,15
9,0,15:00,VIP Darshan,500,38
10,0,18:00,VIP Darshan,500,56
11,0,09:00,Helicopter Darshan,4640,17
12,0,12:00,Helicopter Darshan,4640,10
13,1,06:00,Normal Darshan,0,495
14,1,09:00,Normal Darshan,0,264
15,1,12:00,Normal Darshan,0,327
16,1,15:00,Normal Darshan,0,339
17,1,18:00,Normal Darshan,0,264
18,1,06:00,VIP Darshan,500,61
19,1,09:00,VIP Darshan,500,22
20,1,12:00,VIP Darshan,500,16
21,1,15:00,VIP Darshan,500,96
22,1,18:00,VIP Darshan,500,100
23,1,09:00,Helicopter Darshan,4640,6
24,1,12:00,Helicopter Darshan,4640,11
25,2,06:00,Normal Darshan,0,113
26,2,09:00,Normal Darshan,0,456
27,2,12:00,Normal Darshan,0,260
28,2,15:00,Normal Darshan,0,232
29,2,18:00,Normal Darshan,0,135
30,2,06:00,VIP Darshan,500,88
31,2,09:00,VIP Darshan,500,29
32,2,12:00,VIP Darshan,500,70
33,2,15:00,VIP Darshan,500,76
34,2,18:00,VIP Darshan,500,28
35,2,09:00,Helicopter Darshan,4640,23
36,2,12:00,Helicopter Darshan,4640,27
37,3,06:00,Normal Darshan,0,143
38,3,09:00,Normal Darshan,0,216
39,3,12:00,Normal Darshan,0,251
40,3,15:00,Normal Darshan,0,232
41,3,18:00,Normal Darshan,0,115
42,3,06:00,VIP Darshan,500,81
43,3,09:00,VIP Darshan,500,61
44,3,12:00,VIP Darshan,500,53
45,3,15:00,VIP Darshan,500,71
46,3,18:00,VIP Darshan,500,91
47,3,09:00,Helicopter Darshan,4640,28
48,3,12:00,Helicopter Darshan,4640,37
49,4,06:00,Normal Darshan,0,281
50,4,09:00,Normal Darshan,0,441
51,4,12:00,Normal Darshan,0,319
52,4,15:00,Normal Darshan,0,466
53,4,18:00,Normal Darshan,0,213
54,4,06:00,VIP Darshan,500,78
55,4,09:00,VIP Darshan,500,87
56,4,12:00,VIP Darshan,500,80
57,4,15:00,VIP Darshan,500,18
58,4,18:00,VIP Darshan,500,10
59,4,09:00,Helicopter Darshan,4640,34
60,4,12:00,Helicopter Darshan,4640,13
61,5,06:00,Normal Darshan,0,281
62,5,09:00,Normal Darshan,0,339
63,5,12:00,Normal Darshan,0,217
64,5,15:00,Normal Darshan,0,285
65,5,18:00,Normal Darshan,0,55
66,5,06:00,VIP Darshan,500,70
67,5,09:00,VIP Darshan,500,67
68,5,12:00,VIP Darshan,500,27
69,5,15:00,VIP Darshan,500,67
70,5,18:00,VIP Darshan,500,23
71,5,09:00,Helicopter Darshan,4640,6
72,5,12:00,Helicopter Darshan,4640,35
73,6,06:00,Normal Darshan,0,186
74,6,09:00,Normal Darshan,0,159
75,6,12:00,Normal Darshan,0,189
76,6,15:00,Normal Darshan,0,353
77,6,18:00,Normal Darshan,0,82
78,6,06:00,VIP Darshan,500,83
79,6,09:00,VIP Darshan,500,86
80,6,12:00,VIP Darshan,500,37
81,6,15:00,VIP Darshan,500,10
82,6,18:00,VIP Darshan,500,62
83,6,09:00,Helicopter Darshan,4640,25
84,6,12:00,Helicopter Darshan,4640,33
85,7,06:00,Normal Darshan,0,69
86,7,09:00,Normal Darshan,0,327
87,7,12:00,Normal Darshan,0,105
88,7,15:00,Normal Darshan,0,349
89,7,18:00,Normal Darshan,0,393
90,7,06:00,VIP Darshan,500,74
91,7,09:00,VIP Darshan,500,30
92,7,12:00,VIP Darshan,500,24
93,7,15:00,VIP Darshan,500,81
94,7,18:00,VIP Darshan,500,87
95,7,09:00,Helicopter Darshan,4640,16
96,7,12:00,Helicopter Darshan,4640,34
97,8,06:00,Normal Darshan,0,166
98,8,09:00,Normal Darshan,0,436
99,8,12:00,Normal Darshan,0,126
100,8,15:00,Normal Darshan,0,111
101,8,18:00,Normal Darshan,0,447
102,8,06:00,VIP Darshan,500,31
103,8,09:00,VIP Darshan,500,21
104,8,12:00,VIP Darshan,500,88
105,8,15:00,VIP Darshan,500,15
106,8,18:00,VIP Darshan,500,79
107,8,09:00,Helicopter Darshan,4640,33
108,8,12:00,Helicopter Darshan,4640,17
109,9,06:00,Normal Darshan,0,147
110,9,09:00,Normal Darshan,0,163
111,9,12:00,Normal Darshan,0,233
112,9,15:00,Normal Darshan,0,231
113,9,18:00,Normal Darshan,0,364
114,9,06:00,VIP Darshan,500,70
115,9,09:00,VIP Darshan,500,90
116,9,12:00,VIP Darshan,500,89
117,9,15:00,VIP Darshan,500,100
118,9,18:00,VIP Darshan,500,81
119,9,09:00,Helicopter Darshan,4640,40
120,9,12:00,Helicopter Darshan,4640,26
121,10,06:00,Normal Darshan,0,57
122,10,09:00,Normal Darshan,0,72
123,10,12:00,Normal Darshan,0,99
124,10,15:00,Normal Darshan,0,412
125,10,18:00,Normal Darshan,0,164
126,10,06:00,VIP Darshan,500,30
127,10,09:00,VIP Darshan,500,93
128,10,12:00,VIP Darshan,500,85
129,10,15:00,VIP Darshan,500,43
130,10,18:00,VIP Darshan,500,28
131,10,09:00,Helicopter Darshan,4640,31
132,10,12:00,Helicopter Darshan,4640,31
133,11,06:00,Normal Darshan,0,133
134,11,09:00,Normal Darshan,0,369
135,11,12:00,Normal Darshan,0,72
136,11,15:00,Normal Darshan,0,317
137,11,18:00,Normal Darshan,0,288
138,11,06:00,VIP Darshan,500,48
139,11,09:00,VIP Darshan,500,16
140,11,12:00,VIP Darshan,500,73
141,11,15:00,VIP Darshan,500,39
142,11,18:00,VIP Darshan,500,83
143,11,09:00,Helicopter Darshan,4640,12
144,11,12:00,Helicopter Darshan,4640,25
145,12,06:00,Normal Darshan,0,182
146,12,09:00,Normal Darshan,0,500
147,12,12:00,Normal Darshan,0,473
148,12,15:00,Normal Darshan,0,420
149,12,18:00,Normal Darshan,0,286
150,12,06:00,VIP Darshan,500,79
151,12,09:00,VIP Darshan,500,62
152,12,12:00,VIP Darshan,500,20
153,12,15:00,VIP Darshan,500,91
154,12,18:00,VIP Darshan,500,44
155,12,09:00,Helicopter Darshan,4640,31
156,12,12:00,Helicopter Darshan,4640,13
157,13,06:00,Normal Darshan,0,320
158,13,09:00,Normal Darshan,0,224
159,13,12:00,Normal Darshan,0,72
160,13,15:00,Normal Darshan,0,303
161,13,18:00,Normal Darshan,0,351
162,13,06:00,VIP Darshan,500,66
163,13,09:00,VIP Darshan,500,96
164,13,12:00,VIP Darshan,500,97
165,13,15:00,VIP Darshan,500,50
166,13,18:00,VIP Darshan,500,72
167,13,09:00,Helicopter Darshan,4640,30
168,13,12:00,Helicopter Darshan,4640,37
169,14,06:00,Normal Darshan,0,208
170,14,09:00,Normal Darshan,0,54
171,14,12:00,Normal Darshan,0,140
172,14,15:00,Normal Darshan,0,118
173,14,18:00,Normal Darshan,0,57
174,14,06:00,VIP Darshan,500,25
175,14,09:00,VIP Darshan,500,69
176,14,12:00,VIP Darshan,500,84
177,14,15:00,VIP Darshan,500,98
178,14,18:00,VIP Darshan,500,79
179,14,09:00,Helicopter Darshan,4640,20
180,14,12:00,Helicopter Darshan,4640,4
181,15,06:00,Normal Darshan,0,415
182,15,09:00,Normal Darshan,0,352
183,15,12:00,Normal Darshan,0,138
184,15,15:00,Normal Darshan,0,263
185,15,18:00,Normal Darshan,0,160
186,15,06:00,VIP Darshan,500,18
187,15,09:00,VIP Darshan,500,27
188,15,12:00,VIP Darshan,500,46
189,15,15:00,VIP Darshan,500,80
190,15,18:00,VIP Darshan,500,88
191,15,09:00,Helicopter Darshan,4640,23
192,15,12:00,Helicopter Darshan,4640,7
193,16,06:00,Normal Darshan,0,212
194,16,09:00,Normal Darshan,0,120
195,16,12:00,Normal Darshan,0,405
196,16,15:00,Normal Darshan,0,424
197,16,18:00,Normal Darshan,0,286
198,16,06:00,VIP Darshan,500,50
199,16,09:00,VIP Darshan,500,18
200,16,12:00,VIP Darshan,500,56
201,16,15:00,VIP Darshan,500,36
202,16,18:00,VIP Darshan,500,19
203,16,09:00,Helicopter Darshan,4640,6
204,16,12:00,Helicopter Darshan,4640,20
