id,day_offset,flight_no,airline,origin,destination,departure_time,price,seats_available
1,0,AI100,Air India,Delhi,Jammu,19:00,6055,98
2,0,IN101,IndiGo,Mumbai,Jammu,19:00,6267,102
3,0,IN102,IndiGo,Bangalore,Jammu,09:00,5930,177
4,0,IN103,IndiGo,Chennai,Jammu,12:00,9172,61
5,0,VI104,Vistara,Chennai,Jammu,18:00,8979,85
6,0,VI105,Vistara,Kolkata,Jammu,06:00,6212,129
7,0,IN106,IndiGo,Ahmedabad,Jammu,11:00,5554,71
8,0,SP107,SpiceJet,Ahmedabad,Jammu,19:00,7218,53
9,1,VI108,Vistara,Delhi,Jammu,12:00,4864,114
10,1,AI109,Air India,Mumbai,Jammu,12:00,4247,136
11,1,IN110,IndiGo,Bangalore,Jammu,12:00,5670,103
12,1,IN111,IndiGo,Chennai,Jammu,17:00,6350,170
13,1,VI112,Vistara,Kolkata,Jammu,06:00,5257,73
14,1,AI113,Air India,Kolkata,Jammu,09:00,7219,63
15,1,VI114,Vistara,Ahmedabad,Jammu,17:00,5069,84
16,2,IN115,IndiGo,Delhi,Jammu,18:00,4537,137
17,2,VI116,Vistara,Mumbai,Jammu,09:00,8127,180
18,2,IN117,IndiGo,Mumbai,Jammu,09:00,4494,178
19,2,IN118,IndiGo,Bangalore,Jammu,20:00,7195,16
20,2,IN119,IndiGo,Bangalore,Jammu,14:00,7233,67
21,2,IN120,IndiGo,Chennai,Jammu,07:00,9291,166
22,2,IN121,IndiGo,Chennai,Jammu,19:00,9417,17
23,2,IN122,IndiGo,Kolkata,Jammu,12:00,7126,91
24,2,SP123,SpiceJet,Kolkata,Jammu,15:00,6528,29
25,2,IN124,IndiGo,Ahmedabad,Jammu,09:00,4593,121
26,2,VI125,Vistara,Ahmedabad,Jammu,07:00,6209,9
27,3,IN126,IndiGo,Delhi,Jammu,05:00,6466,62
28,3,VI127,Vistara,Mumbai,Jammu,18:00,7391,147
