id,day_offset,slot_time,category,price,seats_available
1,0,06:00,Normal Darshan,0,255
2,0,09:00,Normal Darshan,0,62
3,0,12:00,Normal Darshan,0,342
4,0,15:00,Normal Darshan,0,486
5,0,18:00,Normal Darshan,0,490
6,0,06:00,VIP Darshan,500,85
7,0,09:00,VIP Darshan,500,45
8,0,12:00,VIP Darshan,500,47
9,0,15:00,VIP Darshan,500,21
10,0,18:00,VIP Darshan,500,85
11,0,09:00,Helicopter Darshan,4640,18
12,0,12:00,Helicopter Darshan,4640,39
13,1,06:00,Normal Darshan,0,64
14,1,09:00,Normal Darshan,0,275
15,1,12:00,Normal Darshan,0,455
16,1,15:00,Normal Darshan,0,382
17,1,18:00,Normal Darshan,0,101
18,1,06:00,VIP Darshan,500,38
19,1,09:00,VIP Darshan,500,20
20,1,12:00,VIP Darshan,500,83
21,1,15:00,VIP Darshan,500,23
22,1,18:00,VIP Darshan,500,46
23,1,09:00,Helicopter Darshan,4640,25
24,1,12:00,Helicopter Darshan,4640,7
25,2,06:00,Normal Darshan,0,148
26,2,09:00,Normal Darshan,0,300
27,2,12:00,Normal Darshan,0,150
28,2,15:00,Normal Darshan,0,323
29,2,18:00,Normal Darshan,0,97
30,2,06:00,VIP Darshan,500,65
31,2,09:00,VIP Darshan,500,69
32,2,12:00,VIP Darshan,500,99
33,2,15:00,VIP Darshan,500,86
34,2,18:00,VIP Darshan,500,30
35,2,09:00,Helicopter Darshan,4640,20
36,2,12:00,Helicopter Darshan,4640,16
37,3,06:00,Normal Darshan,0,469
38,3,09:00,Normal Darshan,0,256
39,3,12:00,Normal Darshan,0,186
40,3,15:00,Normal Darshan,0,174
41,3,18:00,Normal Darshan,0,228
42,3,06:00,VIP Darshan,500,45
43,3,09:00,VIP Darshan,500,58
44,3,12:00,VIP Darshan,500,39
45,3,15:00,VIP Darshan,500,89
46,3,18:00,VIP Darshan,500,59
47,3,09:00,Helicopter Darshan,4640,10
48,3,12:00,Helicopter Darshan,4640,10
49,4,06:00,Normal Darshan,0,287
50,4,09:00,Normal Darshan,0,216
51,4,12:00,Normal Darshan,0,232
52,4,15:00,Normal Darshan,0,495
53,4,18:00,Normal Darshan,0,415
54,4,06:00,VIP Darshan,500,59
55,4,09:00,VIP Darshan,500,21
56,4,12:00,VIP Darshan,500,45
57,4,15:00,VIP Darshan,500,20
58,4,18:00,VIP Darshan,500,83
59,4,09:00,Helicopter Darshan,4640,29
60,4,12:00,Helicopter Darshan,4640,16
61,5,06:00,Normal Darshan,0,201
62,5,09:00,Normal Darshan,0,131
63,5,12:00,Normal Darshan,0,283
64,5,15:00,Normal Darshan,0,174
65,5,18:00,Normal Darshan,0,103
66,5,06:00,VIP Darshan,500,10
67,5,09:00,VIP Darshan,500,42
68,5,12:00,VIP Darshan,500,33
69,5,15:00,VIP Darshan,500,59
70,5,18:00,VIP Darshan,500,40
71,5,09:00,Helicopter Darshan,4640,8
72,5,12:00,Helicopter Darshan,4640,25
73,6,06:00,Normal Darshan,0,54
74,6,09:00,Normal Darshan,0,300
75,6,12:00,Normal Darshan,0,283
76,6,15:00,Normal Darshan,0,162
77,6,18:00,Normal Darshan,0,320
78,6,06:00,VIP Darshan,500,60
79,6,09:00,VIP Darshan,500,38
80,6,12:00,VIP Darshan,500,30
81,6,15:00,VIP Darshan,500,56
82,6,18:00,VIP Darshan,500,69
83,6,09:00,Helicopter Darshan,4640,9
84,6,12:00,Helicopter Darshan,4640,20
85,7,06:00,Normal Darshan,0,355
86,7,09:00,Normal Darshan,0,497
87,7,12:00,Normal Darshan,0,179
88,7,15:00,Normal Darshan,0,404
89,7,18:00,Normal Darshan,0,472
90,7,06:00,VIP Darshan,500,13
91,7,09:00,VIP Darshan,500,38
92,7,12:00,VIP Darshan,500,22
93,7,15:00,VIP Darshan,500,53
94,7,18:00,VIP Darshan,500,74
95,7,09:00,Helicopter Darshan,4640,26
96,7,12:00,Helicopter Darshan,4640,24
97,8,06:00,Normal Darshan,0,78
98,8,09:00,Normal Darshan,0,157
99,8,12:00,Normal Darshan,0,235
100,8,15:00,Normal Darshan,0,370
101,8,18:00,Normal Darshan,0,140
102,8,06:00,VIP Darshan,500,99
103,8,09:00,VIP Darshan,500,45
104,8,12:00,VIP Darshan,500,74
105,8,15:00,VIP Darshan,500,71
106,8,18:00,VIP Darshan,500,14
107,8,09:00,Helicopter Darshan,4640,20
108,8,12:00,Helicopter Darshan,4640,35
109,9,06:00,Normal Darshan,0,348
110,9,09:00,Normal Darshan,0,423
111,9,12:00,Normal Darshan,0,225
112,9,15:00,Normal Darshan,0,125
113,9,18:00,Normal Darshan,0,229
114,9,06:00,VIP Darshan,500,43
115,9,09:00,VIP Darshan,500,81
116,9,12:00,VIP Darshan,500,22
117,9,15:00,VIP Darshan,500,54
118,9,18:00,VIP Darshan,500,38
119,9,09:00,Helicopter Darshan,4640,12
120,9,12:00,Helicopter Darshan,4640,11
121,10,06:00,Normal Darshan,0,416
122,10,09:00,Normal Darshan,0,320
123,10,12:00,Normal Darshan,0,223
124,10,15:00,Normal Darshan,0,132
125,10,18:00,Normal Darshan,0,100
126,10,06:00,VIP Darshan,500,35
127,10,09:00,VIP Darshan,500,82
128,10,12:00,VIP Darshan,500,34
129,10,15:00,VIP Darshan,500,27
130,10,18:00,VIP Darshan,500,95
131,10,09:00,Helicopter Darshan,4640,24
132,10,12:00,Helicopter Darshan,4640,35
133,11,06:00,Normal Darshan,0,342
134,11,09:00,Normal Darshan,0,323
135,11,12:00,Normal Darshan,0,175
136,11,15:00,Normal Darshan,0,270
137,11,18:00,Normal Darshan,0,224
138,11,06:00,VIP Darshan,500,66
139,11,09:00,VIP Darshan,500,38
140,11,12:00,VIP Darshan,500,96
141,11,15:00,VIP Darshan,500,69
142,11,18:00,VIP Darshan,500,61
143,11,09:00,Helicopter Darshan,4640,16
144,11,12:00,Helicopter Darshan,4640,23
145,12,06:00,Normal Darshan,0,69
146,12,09:00,Normal Darshan,0,217
147,12,12:00,Normal Darshan,0,181
148,12,15:00,Normal Darshan,0,473
149,12,18:00,Normal Darshan,0,475
150,12,06:00,VIP Darshan,500,71
151,12,09:00,VIP Darshan,500,13
152,12,12:00,VIP Darshan,500,76
153,12,15:00,VIP Darshan,500,100
154,12,18:00,VIP Darshan,500,48
155,12,09:00,Helicopter Darshan,4640,38
156,12,12:00,Helicopter Darshan,4640,6
157,13,06:00,Normal Darshan,0,335
158,13,09:00,Normal Darshan,0,495
159,13,12:00,Normal Darshan,0,195
160,13,15:00,Normal Darshan,0,243
161,13,18:00,Normal Darshan,0,136
162,13,06:00,VIP Darshan,500,14
163,13,09:00,VIP Darshan,500,28
164,13,12:00,VIP Darshan,500,22
165,13,15:00,VIP Darshan,500,36
166,13,18:00,VIP Darshan,500,99
167,13,09:00,Helicopter Darshan,4640,37
168,13,12:00,Helicopter Darshan,4640,25
169,14,06:00,Normal Darshan,0,299
170,14,09:00,Normal Darshan,0,158
171,14,12:00,Normal Darshan,0,470
172,14,15:00,Normal Darshan,0,93
173,14,18:00,Normal Darshan,0,66
174,14,06:00,VIP Darshan,500,81
175,14,09:00,VIP Darshan,500,54
176,14,12:00,VIP Darshan,500,13
177,14,15:00,VIP Darshan,500,18
178,14,18:00,VIP Darshan,500,52
179,14,09:00,Helicopter Darshan,4640,9
180,14,12:00,Helicopter Darshan,4640,36
181,15,06:00,Normal Darshan,0,479
182,15,09:00,Normal Darshan,0,331
183,15,12:00,Normal Darshan,0,308
184,15,15:00,Normal Darshan,0,204
185,15,18:00,Normal Darshan,0,135
186,15,06:00,VIP Darshan,500,10
187,15,09:00,VIP Darshan,500,65
188,15,12:00,VIP Darshan,500,64
189,15,15:00,VIP Darshan,500,42
190,15,18:00,VIP Darshan,500,52
191,15,09:00,Helicopter Darshan,4640,25
192,15,12:00,Helicopter Darshan,4640,36
193,16,06:00,Normal Darshan,0,231
194,16,09:00,Normal Darshan,0,50
195,16,12:00,Normal Darshan,0,117
196,16,15:00,Normal Darshan,0,314
197,16,18:00,Normal Darshan,0,455
198,16,06:00,VIP Darshan,500,30
199,16,09:00,VIP Darshan,500,53
200,16,12:00,VIP Darshan,500,17
201,16,15:00,VIP Darshan,500,71
202,16,18:00,VIP Darshan,500,43
203,16,09:00,Helicopter Darshan,4640,23
204,16,12:00,Helicopter Darshan,4640,7
205,17,06:00,Normal Darshan,0,470
206,17,09:00,Normal Darshan,0,466
207,17,12:00,Normal Darshan,0,149
208,17,15:00,Normal Darshan,0,285
209,17,18:00,Normal Darshan,0,183
210,17,06:00,VIP Darshan,500,10
211,17,09:00,VIP Darshan,500,25
212,17,12:00,VIP Darshan,500,32
213,17,15:00,VIP Darshan,500,17
214,17,18:00,VIP Darshan,500,42
215,17,09:00,Helicopter Darshan,4640,32
216,17,12:00,Helicopter Darshan,4640,40
217,18,06:00,Normal Darshan,0,350
218,18,09:00,Normal Darshan,0,421
219,18,12:00,Normal Darshan,0,381
220,18,15:00,Normal Darshan,0,125
221,18,18:00,Normal Darshan,0,402
222,18,06:00,VIP Darshan,500,55
223,18,09:00,VIP Darshan,500,13
224,18,12:00,VIP Darshan,500,44
225,18,15:00,VIP Darshan,500,90
226,18,18:00,VIP Darshan,500,41
227,18,09:00,Helicopter Darshan,4640,31
228,18,12:00,Helicopter Darshan,4640,18
229,19,06:00,Normal Darshan,0,210
230,19,09:00,Normal Darshan,0,268
231,19,12:00,Normal Darshan,0,311
232,19,15:00,Normal Darshan,0,424
233,19,18:00,Normal Darshan,0,174
234,19,06:00,VIP Darshan,500,21
235,19,09:00,VIP Darshan,500,15
236,19,12:00,VIP Darshan,500,43
237,19,15:00,VIP Darshan,500,57
238,19,18:00,VIP Darshan,500,28
239,19,09:00,Helicopter Darshan,4640,20
240,19,12:00,Helicopter Darshan,4640,17
241,20,06:00,Normal Darshan,0,363
242,20,09:00,Normal Darshan,0,56
243,20,12:00,Normal Darshan,0,293
244,20,15:00,Normal Darshan,0,301
245,20,18:00,Normal Darshan,0,235
246,20,06:00,VIP Darshan,500,85
247,20,09:00,VIP Darshan,500,12
248,20,12:00,VIP Darshan,500,69
249,20,15:00,VIP Darshan,500,51
250,20,18:00,VIP Darshan,500,21
251,20,09:00,Helicopter Darshan,4640,30
252,20,12:00,Helicopter Darshan,4640,21
253,21,06:00,Normal Darshan,0,499
254,21,09:00,Normal Darshan,0,57
255,21,12:00,Normal Darshan,0,184
256,21,15:00,Normal Darshan,0,323
257,21,18:00,Normal Darshan,0,247
258,21,06:00,VIP Darshan,500,31
259,21,09:00,VIP Darshan,500,25
260,21,12:00,VIP Darshan,500,49
261,21,15:00,VIP Darshan,500,14
262,21,18:00,VIP Darshan,500,69
263,21,09:00,Helicopter Darshan,4640,35
264,21,12:00,Helicopter Darshan,4640,40
265,22,06:00,Normal Darshan,0,285
266,22,09:00,Normal Darshan,0,414
267,22,12:00,Normal Darshan,0,117
268,22,15:00,Normal Darshan,0,397
269,22,18:00,Normal Darshan,0,327
270,22,06:00,VIP Darshan,500,57
271,22,09:00,VIP Darshan,500,53
272,22,12:00,VIP Darshan,500,37
273,22,15:00,VIP Darshan,500,79
274,22,18:00,VIP Darshan,500,68
275,22,09:00,Helicopter Darshan,4640,24
276,22,12:00,Helicopter Darshan,4640,23
277,23,06:00,Normal Darshan,0,486
278,23,09:00,Normal Darshan,0,411
279,23,12:00,Normal Darshan,0,177
280,23,15:00,Normal Darshan,0,81
281,23,18:00,Normal Darshan,0,293
282,23,06:00,VIP Darshan,500,91
283,23,09:00,VIP Darshan,500,72
284,23,12:00,VIP Darshan,500,94
285,23,15:00,VIP Darshan,500,30
286,23,18:00,VIP Darshan,500,99
287,23,09:00,Helicopter Darshan,4640,40
288,23,12:00,Helicopter Darshan,4640,33
289,24,06:00,Normal Darshan,0,250
290,24,09:00,Normal Darshan,0,67
291,24,12:00,Normal Darshan,0,72
292,24,15:00,Normal Darshan,0,415
293,24,18:00,Normal Darshan,0,418
294,24,06:00,VIP Darshan,500,75
295,24,09:00,VIP Darshan,500,51
296,24,12:00,VIP Darshan,500,10
297,24,15:00,VIP Darshan,500,63
298,24,18:00,VIP Darshan,500,96
299,24,09:00,Helicopter Darshan,4640,30
300,24,12:00,Helicopter Darshan,4640,25
301,25,06:00,Normal Darshan,0,92
302,25,09:00,Normal Darshan,0,435
303,25,12:00,Normal Darshan,0,248
304,25,15:00,Normal Darshan,0,200
305,25,18:00,Normal Darshan,0,452
306,25,06:00,VIP Darshan,500,24
307,25,09:00,VIP Darshan,500,99
308,25,12:00,VIP Darshan,500,27
309,25,15:00,VIP Darshan,500,84
310,25,18:00,VIP Darshan,500,74
311,25,09:00,Helicopter Darshan,4640,21
312,25,12:00,Helicopter Darshan,4640,11
313,26,06:00,Normal Darshan,0,363
314,26,09:00,Normal Darshan,0,356
315,26,12:00,Normal Darshan,0,323
316,26,15:00,Normal Darshan,0,287
317,26,18:00,Normal Darshan,0,423
318,26,06:00,VIP Darshan,500,49
319,26,09:00,VIP Darshan,500,49
320,26,12:00,VIP Darshan,500,36
321,26,15:00,VIP Darshan,500,52
322,26,18:00,VIP Darshan,500,37
323,26,09:00,Helicopter Darshan,4640,7
324,26,12:00,Helicopter Darshan,4640,13
325,27,06:00,Normal Darshan,0,467
326,27,09:00,Normal Darshan,0,454
327,27,12:00,Normal Darshan,0,443
328,27,15:00,Normal Darshan,0,201
329,27,18:00,Normal Darshan,0,174
330,27,06:00,VIP Darshan,500,39
331,27,09:00,VIP Darshan,500,22
332,27,12:00,VIP Darshan,500,19
333,27,15:00,VIP Darshan,500,50
334,27,18:00,VIP Darshan,500,88
335,27,09:00,Helicopter Darshan,4640,7
336,27,12:00,Helicopter Darshan,4640,33
337,28,06:00,Normal Darshan,0,370
338,28,09:00,Normal Darshan,0,263
339,28,12:00,Normal Darshan,0,388
340,28,15:00,Normal Darshan,0,153
341,28,18:00,Normal Darshan,0,90
342,28,06:00,VIP Darshan,500,59
343,28,09:00,VIP Darshan,500,25
344,28,12:00,VIP Darshan,500,21
345,28,15:00,VIP Darshan,500,92
346,28,18:00,VIP Darshan,500,67
347,28,09:00,Helicopter Darshan,4640,17
348,28,12:00,Helicopter Darshan,4640,22
349,29,06:00,Normal Darshan,0,463
350,29,09:00,Normal Darshan,0,340
351,29,12:00,Normal Darshan,0,112
352,29,15:00,Normal Darshan,0,97
353,29,18:00,Normal Darshan,0,440
354,29,06:00,VIP Darshan,500,82
355,29,09:00,VIP Darshan,500,86
356,29,12:00,VIP Darshan,500,30
357,29,15:00,VIP Darshan,500,78
358,29,18:00,VIP Darshan,500,12
359,29,09:00,Helicopter Darshan,4640,20
360,29,12:00,Helicopter Darshan,4640,34
361,30,06:00,Normal Darshan,0,113
362,30,09:00,Normal Darshan,0,337
363,30,12:00,Normal Darshan,0,123
364,30,15:00,Normal Darshan,0,463
365,30,18:00,Normal Darshan,0,126
366,30,06:00,VIP Darshan,500,67
367,30,09:00,VIP Darshan,500,18
368,30,12:00,VIP Darshan,500,81
369,30,15:00,VIP Darshan,500,23
370,30,18:00,VIP Darshan,500,68
371,30,09:00,Helicopter Darshan,4640,28
372,30,12:00,Helicopter Darshan,4640,15
373,31,06:00,Normal Darshan,0,207
374,31,09:00,Normal Darshan,0,459
375,31,12:00,Normal Darshan,0,373
376,31,15:00,Normal Darshan,0,142
377,31,18:00,Normal Darshan,0,291
378,31,06:00,VIP Darshan,500,66
379,31,09:00,VIP Darshan,500,81
380,31,12:00,VIP Darshan,500,29
381,31,15:00,VIP Darshan,500,45
382,31,18:00,VIP Darshan,500,39
383,31,09:00,Helicopter Darshan,4640,38
384,31,12:00,Helicopter Darshan,4640,25
385,32,06:00,Normal Darshan,0,180
386,32,09:00,Normal Darshan,0,496
387,32,12:00,Normal Darshan,0,213
388,32,15:00,Normal Darshan,0,183
389,32,18:00,Normal Darshan,0,331
390,32,06:00,VIP Darshan,500,82
391,32,09:00,VIP Darshan,500,95
392,32,12:00,VIP Darshan,500,53
393,32,15:00,VIP Darshan,500,96
394,32,18:00,VIP Darshan,500,82
395,32,09:00,Helicopter Darshan,4640,17
396,32,12:00,Helicopter Darshan,4640,38
397,33,06:00,Normal Darshan,0,89
398,33,09:00,Normal Darshan,0,197
399,33,12:00,Normal Darshan,0,230
400,33,15:00,Normal Darshan,0,378
401,33,18:00,Normal Darshan,0,142
402,33,06:00,VIP Darshan,500,70
403,33,09:00,VIP Darshan,500,43
404,33,12:00,VIP Darshan,500,24
405,33,15:00,VIP Darshan,500,51
406,33,18:00,VIP Darshan,500,14
407,33,09:00,Helicopter Darshan,4640,26
408,33,12:00,Helicopter Darshan,4640,35
409,34,06:00,Normal Darshan,0,207
410,34,09:00,Normal Darshan,0,64
411,34,12:00,Normal Darshan,0,263
412,34,15:00,Normal Darshan,0,448
413,34,18:00,Normal Darshan,0,397
414,34,06:00,VIP Darshan,500,73
415,34,09:00,VIP Darshan,500,56
416,34,12:00,VIP Darshan,500,48
417,34,15:00,VIP Darshan,500,59
418,34,18:00,VIP Darshan,500,99
419,34,09:00,Helicopter Darshan,4640,30
420,34,12:00,Helicopter Darshan,4640,24
421,35,06:00,Normal Darshan,0,86
422,35,09:00,Normal Darshan,0,406
423,35,12:00,Normal Darshan,0,254
424,35,15:00,Normal Darshan,0,79
425,35,18:00,Normal Darshan,0,385
426,35,06:00,VIP Darshan,500,43
427,35,09:00,VIP Darshan,500,55
428,35,12:00,VIP Darshan,500,39
429,35,15:00,VIP Darshan,500,62
430,35,18:00,VIP Darshan,500,54
431,35,09:00,Helicopter Darshan,4640,6
432,35,12:00,Helicopter Darshan,4640,22
433,36,06:00,Normal Darshan,0,420
434,36,09:00,Normal Darshan,0,105
435,36,12:00,Normal Darshan,0,80
436,36,15:00,Normal Darshan,0,111
437,36,18:00,Normal Darshan,0,312
438,36,06:00,VIP Darshan,500,36
439,36,09:00,VIP Darshan,500,40
440,36,12:00,VIP Darshan,500,19
441,36,15:00,VIP Darshan,500,13
442,36,18:00,VIP Darshan,500,67
443,36,09:00,Helicopter Darshan,4640,11
444,36,12:00,Helicopter Darshan,4640,24
445,37,06:00,Normal Darshan,0,84
446,37,09:00,Normal Darshan,0,135
447,37,12:00,Normal Darshan,0,338
448,37,15:00,Normal Darshan,0,437
449,37,18:00,Normal Darshan,0,167
450,37,06:00,VIP Darshan,500,16
451,37,09:00,VIP Darshan,500,25
452,37,12:00,VIP Darshan,500,96
453,37,15:00,VIP Darshan,500,48
454,37,18:00,VIP Darshan,500,45
455,37,09:00,Helicopter Darshan,4640,6
456,37,12:00,Helicopter Darshan,4640,14
457,38,06:00,Normal Darshan,0,244
458,38,09:00,Normal Darshan,0,87
459,38,12:00,Normal Darshan,0,193
460,38,15:00,Normal Darshan,0,341
461,38,18:00,Normal Darshan,0,83
462,38,06:00,VIP Darshan,500,28
463,38,09:00,VIP Darshan,500,53
464,38,12:00,VIP Darshan,500,45
465,38,15:00,VIP Darshan,500,12
466,38,18:00,VIP Darshan,500,35
467,38,09:00,Helicopter Darshan,4640,5
468,38,12:00,Helicopter Darshan,4640,28
469,39,06:00,Normal Darshan,0,398
470,39,09:00,Normal Darshan,0,328
471,39,12:00,Normal Darshan,0,372
472,39,15:00,Normal Darshan,0,201
473,39,18:00,Normal Darshan,0,184
474,39,06:00,VIP Darshan,500,90
475,39,09:00,VIP Darshan,500,41
476,39,12:00,VIP Darshan,500,23
477,39,15:00,VIP Darshan,500,69
478,39,18:00,VIP Darshan,500,59
479,39,09:00,Helicopter Darshan,4640,26
480,39,12:00,Helicopter Darshan,4640,8
481,40,06:00,Normal Darshan,0,55
482,40,09:00,Normal Darshan,0,360
483,40,12:00,Normal Darshan,0,107
484,40,15:00,Normal Darshan,0,164
485,40,18:00,Normal Darshan,0,223
486,40,06:00,VIP Darshan,500,69
487,40,09:00,VIP Darshan,500,58
488,40,12:00,VIP Darshan,500,34
489,40,15:00,VIP Darshan,500,34
490,40,18:00,VIP Darshan,500,59
491,40,09:00,Helicopter Darshan,4640,6
492,40,12:00,Helicopter Darshan,4640,24
493,41,06:00,Normal Darshan,0,483
494,41,09:00,Normal Darshan,0,443
495,41,12:00,Normal Darshan,0,130
496,41,15:00,Normal Darshan,0,150
497,41,18:00,Normal Darshan,0,196
498,41,06:00,VIP Darshan,500,88
499,41,09:00,VIP Darshan,500,58
500,41,12:00,VIP Darshan,500,80
501,41,15:00,VIP Darshan,500,59
502,41,18:00,VIP Darshan,500,91
503,41,09:00,Helicopter Darshan,4640,38
504,41,12:00,Helicopter Darshan,4640,40
505,42,06:00,Normal Darshan,0,127
506,42,09:00,Normal Darshan,0,449
507,42,12:00,Normal Darshan,0,269
508,42,15:00,Normal Darshan,0,148
509,42,18:00,Normal Darshan,0,197
510,42,06:00,VIP Darshan,500,75
511,42,09:00,VIP Darshan,500,44
512,42,12:00,VIP Darshan,500,33
513,42,15:00,VIP Darshan,500,93
514,42,18:00,VIP Darshan,500,45
515,42,09:00,Helicopter Darshan,4640,28
516,42,12:00,Helicopter Darshan,4640,22
517,43,06:00,Normal Darshan,0,346
518,43,09:00,Normal Darshan,0,288
519,43,12:00,Normal Darshan,0,398
520,43,15:00,Normal Darshan,0,183
521,43,18:00,Normal Darshan,0,317
522,43,06:00,VIP Darshan,500,64
523,43,09:00,VIP Darshan,500,31
524,43,12:00,VIP Darshan,500,40
